,Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
count,3649,3649.0,3639.0,3480.0,2718.0,1560.0,3455.0,3628.0,3523.0,3628.0,3607.0,3649.0,3442.0,3221.0,1512.0,3332.0,3367.0,3648,3648.0,3648.0,3648.0
unique,176,,,,,,,,,,,,,,,,,124,,,
top,Afghanistan,,,,,,,,,,,,,,,,,25,,,
freq,21,,,,,,,,,,,,,,,,,147,,,
mean,,2010.0383666758016,78.93370216207748,63.25528735632183,113.13749816041205,94224000.0,32.63816497829233,70.36500275633958,13.450190178824867,23.968009922822493,36.80118186985084,25743.98174504221,5.3073450588901805,159866.46268574602,11.986706828095237,3.441610056684874,13283.77434796745,,633213.4893092106,18.246387760444083,14.822694542171051
std,,6.054228365650787,30.27554143374901,39.04365757473373,244.1672556628789,298154406.5856052,29.89490136284929,348.05186613011125,73.00662309724117,104.43108494343312,34.31488417070435,34773.2213657441,3.532020083154272,773661.0643937222,14.994644244604238,5.6867201572028865,19709.866715804706,,1585519.2164607805,24.15923168795461,66.34814783833215
min,,2000.0,1.2522693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,9.999999776,0.0,-62.07591958,111.9272251,,21.0,-40.900557,-175.198242
25%,,2005.0,59.800889999999995,23.175,3.54,260000.0,6.515,0.29,0.0,0.04,2.87784685,3116.7373,3.17,2019.999981,2.13709515,1.3833019477500001,1337.8134365,,25713.0,3.202778,-11.779889
50%,,2010.0,98.36157,83.15,32.91,5665000.0,23.3,2.97,0.0,1.47,27.865068,13120.57,4.3,10500.0,6.290766,3.559855155,4578.633208,,117600.0,17.189877,19.145136
75%,,2015.0,100.0,100.0,112.21000000000001,55347500.0,55.245000000000005,26.8375,0.0,9.6,64.40379200000001,33892.78,6.0275,60580.00183,16.841638250000003,5.83009921975,15768.615365000001,,513120.0,38.969719,46.199616
max,,2020.0,100.0,100.0,3060.19,5202310000.0,96.04,5184.13,809.41,2184.94,100.00001,262585.7,32.57,10707219.73,86.836586,123.1395552,123514.1967,,9984670.0,64.963051,178.065032
